condition,seed,graph_exists,png_exists,png_ok,homophily_ok,network_metrics_ok,metrics_have_required_scalars,cost_stats_ok,node_count,edge_count,node_count_ok,edge_count_ok
local_gpt-4.1-nano_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,208,True,True
local_gpt-4.1-nano_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,252,True,True
local_gpt-4.1-mini_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,192,True,True
local_gpt-4.1-mini_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,238,True,True
local_gpt-4.1_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,194,True,True
local_gpt-4.1_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,229,True,True
local_gpt-4.1-nano_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,215,True,True
local_gpt-4.1-nano_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,250,True,True
local_gpt-4.1-mini_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,191,True,True
local_gpt-4.1-mini_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,239,True,True
local_gpt-4.1_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,192,True,True
local_gpt-4.1_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,232,True,True
sequential_gpt-4.1-nano_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,209,True,True
sequential_gpt-4.1-nano_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,257,True,True
sequential_gpt-4.1-mini_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,190,True,True
sequential_gpt-4.1-mini_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,231,True,True
sequential_gpt-4.1_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,193,True,True
sequential_gpt-4.1_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,216,True,True
sequential_gpt-4.1-nano_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,216,True,True
sequential_gpt-4.1-nano_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,251,True,True
sequential_gpt-4.1-mini_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,197,True,True
sequential_gpt-4.1-mini_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,240,True,True
sequential_gpt-4.1_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,190,True,True
sequential_gpt-4.1_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,232,True,True
sequential_gpt-4.1-nano_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,214,True,True
sequential_gpt-4.1-nano_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,258,True,True
sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,195,True,True
sequential_gpt-4.1-mini_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,232,True,True
sequential_gpt-4.1_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,190,True,True
sequential_gpt-4.1_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,227,True,True
sequential_gpt-4.1-nano_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,218,True,True
sequential_gpt-4.1-nano_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,245,True,True
sequential_gpt-4.1-mini_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,188,True,True
sequential_gpt-4.1-mini_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,236,True,True
sequential_gpt-4.1_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,186,True,True
sequential_gpt-4.1_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,229,True,True
iterative_gpt-4.1-nano_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,216,True,True
iterative_gpt-4.1-nano_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,262,True,True
iterative_gpt-4.1-mini_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,190,True,True
iterative_gpt-4.1-mini_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,245,True,True
iterative_gpt-4.1_n5_culture_us_lang_english,0,True,True,True,True,True,True,True,50,190,True,True
iterative_gpt-4.1_n5_culture_us_lang_english,1,True,True,True,True,True,True,True,50,237,True,True
iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,213,True,True
iterative_gpt-4.1-nano_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,264,True,True
iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,196,True,True
iterative_gpt-4.1-mini_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,248,True,True
iterative_gpt-4.1_n5_culture_us_lang_spanish,0,True,True,True,True,True,True,True,50,189,True,True
iterative_gpt-4.1_n5_culture_us_lang_spanish,1,True,True,True,True,True,True,True,50,240,True,True
iterative_gpt-4.1-nano_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,204,True,True
iterative_gpt-4.1-nano_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,259,True,True
iterative_gpt-4.1-mini_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,192,True,True
iterative_gpt-4.1-mini_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,243,True,True
iterative_gpt-4.1_n5_culture_us_lang_hindi,0,True,True,True,True,True,True,True,50,193,True,True
iterative_gpt-4.1_n5_culture_us_lang_hindi,1,True,True,True,True,True,True,True,50,234,True,True
iterative_gpt-4.1-nano_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,208,True,True
iterative_gpt-4.1-nano_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,251,True,True
iterative_gpt-4.1-mini_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,191,True,True
iterative_gpt-4.1-mini_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,252,True,True
iterative_gpt-4.1_n5_culture_us_lang_japanese,0,True,True,True,True,True,True,True,50,192,True,True
iterative_gpt-4.1_n5_culture_us_lang_japanese,1,True,True,True,True,True,True,True,50,236,True,True
