method,culture,model,seed,language_pair,edge_distance
sequential,us,gpt-4.1-mini,0,english vs hindi,0.045306122448979594
sequential,us,gpt-4.1-mini,1,english vs hindi,0.09755102040816327
sequential,us,gpt-4.1-mini,0,english vs japanese,0.04897959183673469
sequential,us,gpt-4.1-mini,1,english vs japanese,0.09428571428571429
sequential,us,gpt-4.1-mini,0,english vs spanish,0.05020408163265306
sequential,us,gpt-4.1-mini,1,english vs spanish,0.1089795918367347
sequential,us,gpt-4.1-mini,0,hindi vs japanese,0.06571428571428571
sequential,us,gpt-4.1-mini,1,hindi vs japanese,0.09387755102040816
sequential,us,gpt-4.1-mini,0,hindi vs spanish,0.05877551020408163
sequential,us,gpt-4.1-mini,1,hindi vs spanish,0.08653061224489796
sequential,us,gpt-4.1-mini,0,japanese vs spanish,0.05918367346938776
sequential,us,gpt-4.1-mini,1,japanese vs spanish,0.09551020408163265
sequential,us,gpt-4.1,0,english vs hindi,0.060816326530612246
sequential,us,gpt-4.1,1,english vs hindi,0.07714285714285714
sequential,us,gpt-4.1,0,english vs japanese,0.08612244897959184
sequential,us,gpt-4.1,1,english vs japanese,0.07387755102040816
sequential,us,gpt-4.1,0,english vs spanish,0.05020408163265306
sequential,us,gpt-4.1,1,english vs spanish,0.06693877551020408
sequential,us,gpt-4.1,0,hindi vs japanese,0.0653061224489796
sequential,us,gpt-4.1,1,hindi vs japanese,0.0783673469387755
sequential,us,gpt-4.1,0,hindi vs spanish,0.062040816326530614
sequential,us,gpt-4.1,1,hindi vs spanish,0.07877551020408163
sequential,us,gpt-4.1,0,japanese vs spanish,0.07755102040816327
sequential,us,gpt-4.1,1,japanese vs spanish,0.07877551020408163
iterative,us,gpt-4.1-nano,0,english vs hindi,0.10612244897959183
iterative,us,gpt-4.1-nano,1,english vs hindi,0.14489795918367346
iterative,us,gpt-4.1-nano,0,english vs japanese,0.10612244897959183
iterative,us,gpt-4.1-nano,1,english vs japanese,0.12857142857142856
iterative,us,gpt-4.1-nano,0,english vs spanish,0.10326530612244898
iterative,us,gpt-4.1-nano,1,english vs spanish,0.14204081632653062
iterative,us,gpt-4.1-nano,0,hindi vs japanese,0.10040816326530612
iterative,us,gpt-4.1-nano,1,hindi vs japanese,0.13387755102040816
iterative,us,gpt-4.1-nano,0,hindi vs spanish,0.11877551020408163
iterative,us,gpt-4.1-nano,1,hindi vs spanish,0.11306122448979591
iterative,us,gpt-4.1-nano,0,japanese vs spanish,0.12204081632653062
iterative,us,gpt-4.1-nano,1,japanese vs spanish,0.1253061224489796
iterative,us,gpt-4.1-mini,0,english vs hindi,0.07183673469387755
iterative,us,gpt-4.1-mini,1,english vs hindi,0.10122448979591837
iterative,us,gpt-4.1-mini,0,english vs japanese,0.06653061224489797
iterative,us,gpt-4.1-mini,1,english vs japanese,0.08775510204081632
iterative,us,gpt-4.1-mini,0,english vs spanish,0.07020408163265306
iterative,us,gpt-4.1-mini,1,english vs spanish,0.1
iterative,us,gpt-4.1-mini,0,hindi vs japanese,0.06571428571428571
iterative,us,gpt-4.1-mini,1,hindi vs japanese,0.11142857142857143
iterative,us,gpt-4.1-mini,0,hindi vs spanish,0.07102040816326531
iterative,us,gpt-4.1-mini,1,hindi vs spanish,0.10326530612244898
iterative,us,gpt-4.1-mini,0,japanese vs spanish,0.06897959183673469
iterative,us,gpt-4.1-mini,1,japanese vs spanish,0.11020408163265306
iterative,us,gpt-4.1,0,english vs hindi,0.05836734693877551
iterative,us,gpt-4.1,1,english vs hindi,0.09510204081632653
iterative,us,gpt-4.1,0,english vs japanese,0.06693877551020408
iterative,us,gpt-4.1,1,english vs japanese,0.07795918367346939
iterative,us,gpt-4.1,0,english vs spanish,0.054285714285714284
iterative,us,gpt-4.1,1,english vs spanish,0.07306122448979592
iterative,us,gpt-4.1,0,hindi vs japanese,0.07551020408163266
iterative,us,gpt-4.1,1,hindi vs japanese,0.08979591836734693
iterative,us,gpt-4.1,0,hindi vs spanish,0.05795918367346939
iterative,us,gpt-4.1,1,hindi vs spanish,0.05714285714285714
iterative,us,gpt-4.1,0,japanese vs spanish,0.07224489795918368
iterative,us,gpt-4.1,1,japanese vs spanish,0.07265306122448979
