method,culture,prompt_language,seed,model_pair,edge_distance
local,us,japanese,0,gpt-4.1-mini vs gpt-4.1-nano,0.13551020408163264
local,us,japanese,1,gpt-4.1-mini vs gpt-4.1-nano,0.16448979591836735
sequential,us,english,0,gpt-4.1 vs gpt-4.1-mini,0.06816326530612245
sequential,us,english,1,gpt-4.1 vs gpt-4.1-mini,0.10244897959183673
sequential,us,english,0,gpt-4.1 vs gpt-4.1-nano,0.13387755102040816
sequential,us,english,1,gpt-4.1 vs gpt-4.1-nano,0.15387755102040818
sequential,us,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.13591836734693877
sequential,us,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.156734693877551
sequential,us,spanish,0,gpt-4.1 vs gpt-4.1-mini,0.07795918367346939
sequential,us,spanish,1,gpt-4.1 vs gpt-4.1-mini,0.10204081632653061
sequential,us,spanish,0,gpt-4.1 vs gpt-4.1-nano,0.14204081632653062
sequential,us,spanish,1,gpt-4.1 vs gpt-4.1-nano,0.16612244897959183
sequential,us,spanish,0,gpt-4.1-mini vs gpt-4.1-nano,0.14326530612244898
sequential,us,spanish,1,gpt-4.1-mini vs gpt-4.1-nano,0.15877551020408162
sequential,us,hindi,0,gpt-4.1 vs gpt-4.1-mini,0.08448979591836735
sequential,us,hindi,1,gpt-4.1 vs gpt-4.1-mini,0.10163265306122449
sequential,us,hindi,0,gpt-4.1 vs gpt-4.1-nano,0.13551020408163264
sequential,us,hindi,1,gpt-4.1 vs gpt-4.1-nano,0.16612244897959183
sequential,us,hindi,0,gpt-4.1-mini vs gpt-4.1-nano,0.13020408163265307
sequential,us,hindi,1,gpt-4.1-mini vs gpt-4.1-nano,0.1763265306122449
sequential,us,japanese,0,gpt-4.1 vs gpt-4.1-mini,0.07591836734693877
sequential,us,japanese,1,gpt-4.1 vs gpt-4.1-mini,0.10163265306122449
sequential,us,japanese,0,gpt-4.1 vs gpt-4.1-nano,0.1404081632653061
sequential,us,japanese,1,gpt-4.1 vs gpt-4.1-nano,0.15755102040816327
sequential,us,japanese,0,gpt-4.1-mini vs gpt-4.1-nano,0.13714285714285715
sequential,us,japanese,1,gpt-4.1-mini vs gpt-4.1-nano,0.15551020408163266
iterative,us,english,0,gpt-4.1 vs gpt-4.1-mini,0.08081632653061224
iterative,us,english,1,gpt-4.1 vs gpt-4.1-mini,0.10448979591836735
iterative,us,english,0,gpt-4.1 vs gpt-4.1-nano,0.13387755102040816
iterative,us,english,1,gpt-4.1 vs gpt-4.1-nano,0.16612244897959183
iterative,us,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.1346938775510204
iterative,us,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.15959183673469388
iterative,us,spanish,0,gpt-4.1 vs gpt-4.1-mini,0.07551020408163266
iterative,us,spanish,1,gpt-4.1 vs gpt-4.1-mini,0.10285714285714286
iterative,us,spanish,0,gpt-4.1 vs gpt-4.1-nano,0.1436734693877551
iterative,us,spanish,1,gpt-4.1 vs gpt-4.1-nano,0.16081632653061226
iterative,us,spanish,0,gpt-4.1-mini vs gpt-4.1-nano,0.12040816326530612
iterative,us,spanish,1,gpt-4.1-mini vs gpt-4.1-nano,0.17061224489795918
iterative,us,hindi,0,gpt-4.1 vs gpt-4.1-mini,0.07714285714285714
iterative,us,hindi,1,gpt-4.1 vs gpt-4.1-mini,0.11551020408163265
iterative,us,hindi,0,gpt-4.1 vs gpt-4.1-nano,0.12448979591836734
iterative,us,hindi,1,gpt-4.1 vs gpt-4.1-nano,0.14979591836734693
iterative,us,hindi,0,gpt-4.1-mini vs gpt-4.1-nano,0.11755102040816326
iterative,us,hindi,1,gpt-4.1-mini vs gpt-4.1-nano,0.16326530612244897
iterative,us,japanese,0,gpt-4.1 vs gpt-4.1-mini,0.08530612244897959
iterative,us,japanese,1,gpt-4.1 vs gpt-4.1-mini,0.12163265306122449
iterative,us,japanese,0,gpt-4.1 vs gpt-4.1-nano,0.12571428571428572
iterative,us,japanese,1,gpt-4.1 vs gpt-4.1-nano,0.15387755102040818
iterative,us,japanese,0,gpt-4.1-mini vs gpt-4.1-nano,0.12040816326530612
iterative,us,japanese,1,gpt-4.1-mini vs gpt-4.1-nano,0.15959183673469388
